2021-04-27T23:27:32.547Z [error] ReferenceError: require is not defined;  /application/api/adminpanel.1/adminPanel.js:3:14;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.555Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/adminpanel.1/getUsername.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.563Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/catalog.1/catalog.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.565Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/catalog.1/filter.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.566Z [error] ReferenceError: module is not defined;  /application/api/catalog.1/genres.js:18:1;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.569Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/catalog.1/random.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.573Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/catalog.1/recommendations.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.579Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/moderpanel.1/addFilm.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.583Z [error] ReferenceError: module is not defined;  /application/api/moderpanel.1/approveComment.js:26:1;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.586Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/moderpanel.1/removeComment.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.588Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/moderpanel.1/removeFilm.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.589Z [error] ReferenceError: module is not defined;  /application/api/moderpanel.1/showComments.js:19:1;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.596Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/moderpanel.1/showFilms.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.598Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/player.1/addComment.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.601Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/player.1/addScore.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.608Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/player.1/getCommentsForFilm.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.609Z [error] ReferenceError: module is not defined;  /application/api/player.1/getFilm.js:20:1;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:32.611Z [error] SyntaxError: Identifier 'Core' has already been declared;  /application/api/player.1/getFilmById.js;  Script.runInContext (vm.js:130:18);  new MetaScript (/node_modules/impress/node_modules/metavm/lib/vm.js:43:32);  Interfaces.createScript (/node_modules/impress/lib/interfaces.js:30:27);  async Interfaces.change (/node_modules/impress/lib/interfaces.js:72:20);  async Interfaces.load (/node_modules/impress/lib/cache.js:18:12);  async Interfaces.load (/node_modules/impress/lib/cache.js:17:31)
2021-04-27T23:27:34.181Z [info] Application started in worker 5
2021-04-27T23:27:39.103Z [info] Graceful shutdown in worker 5
